Aablyseius hibisci,Amblyseius hibisci
Stenochorus dispar,Stenocorus dispar
Stenocuma gracillima,Stenocuma qracillima
Stenodynerus histris,Stenodynerus histrio
Stenogyne angustlfolia,Stenogyne angustifolia
Stenogynje macrantha,Stenogyne macrantha
Stenohothrus crassipes,Stenobothrus crassipes
Stenopiilia paludicola,Stenoptilia paludicola
Stenoponlistes zambezicus,Stenopontistes zambezicus
Stenopora tibrosa,Stenopora fibrosa
Stenops javaninis,Stenops javanicus
Stenopsychc imitata,Stenopsyche imitata
Stenoptejyx hybridalis,Stenopteryx hybridalis
Stenotapbrum secundatum,Stenotaphrum secundatum
Stepaanitis typicus,Stephanitis typicus
Stephanocoeania intersepta,Stephanocoenia intersepta
Stephanodrilus obscuras,Stephanodrilus obscurus
Stephunocircus jarvisi,Stephanocircus jarvisi
Stercorarius parasitica,Stercorarius parasiticus
Sterculia oblonglfolia,Sterculia oblongifolia
Steream frustulosum,Stereum frustulosum
Stereospermem chelonoides,Stereospermum chelonoides
Stereostylus maroccanus,Stereostylus maroccanum
Stereum rugitporum,Stereum rugisporum
Steriphanus alutaccus,Steriphanus alutaceus
Sterna sandvicen�is acuflavida,Sterna sandvicensis subsp. acuflavida
Sternoccra bramina,Sternocera bramina
Sternocera ell�ptica,Sternocera elliptica
Sternolhaerus nigricans,Sternothaerus nigricans
Sternolophas rufipes,Sternolophus rufipes
Sternopygas humboldti,Sternopygus humboldti
Sternum porrectum,Stereum porrectum
Sterua cantiaca,Sterna cantiaca
Steruocera hunteri,Sternocera hunteri
Stetheophyma bbevipennis,Stetheophyma brevipennis
Stethojulis albovitlata,Stethojulis albovittata
Stetoda bipunctata,Steatoda bipunctata
Steudnera colocasicefolia,Steudnera colocasiaefolia
Stfachyris borneensis,Stachyris borneensis
Stichaens punctatus,Stichaeus punctatus
Stickopus natans,Stichopus natans
Sticta maerophylla,Sticta macrophylla
Sticta sylpatica,Sticta sylvatica
Stictia signala,Stictia signata
Stictina scrohiculata,Stictina scrobiculata
Stictocephala f�estina,Stictocephala festina
Stictodera ubelakeri,Stictodora ubelakeri
Stictus elegans,Stictis elegans
Stieholonche zanclea,Sticholonche zanclea
Stieptopelia semitorquata,Streptopelia semitorquata
Stigeocloniam stagnatile,Stigeoclonium stagnatile
Stigmalops chloris,Stigmatops chloris
Stigmaphyilon ciliatum,Stigmaphyllon ciliatum
Stigmaphyllon aristata,Stigmaphyllon aristatum
Stigmella hemargyella,Stigmella hemargyrella
Stigmodera plaxata,Stigmodera planata
Stigmodera sutuealis,Stigmodera suturalis
Stiharobdella loricata,Stibarobdella loricata
Stilbospora hullata,Stilbospora bullata
Stillengia spinulosa,Stillingia spinulosa
Stipa eaucasica,Stipa caucasica
Stipa extremiorientale,Stipa extremiorientalis
Stipa fiexuosa,Stipa flexuosa
Stipa pjennata,Stipa pennata
Stipagroslis ramulosa,Stipagrostis ramulosa
Stipiturus malachnrus,Stipiturus malachurus
Stiqmatella claviformis,Stigmatella claviformis
Stirpus caespitosus,Scirpus caespitosus
Stix pratincola,Strix pratincola
Stiymodera pictipes,Stigmodera pictipes
Stjlus minutus,Stolus minutus
Stlpa capensis,Stipa capensis
Stobaca heterophylla,Stobaea heterophylla
Stobacra granulosa,Stobaera granulosa
Stobaea m�kenii,Stobaea mkenii
Stoboea insignis,Stobaea insignis
Stojasterias alexandri,Stolasterias alexandri
Stokxsia cyanea,Stokesia cyanea
Stomatia daultina,Stomatia gaultina
Stomatoc�elus licinoides,Stomatocoelus licinoides
Stomolophus mcleagris,Stomolophus meleagris
Stopelus coeruleus,Scopelus coeruleus
Storrha sacraria,Sterrha sacraria
Storzonera nervosa,Scorzonera nervosa
Stpunculus verrucosus,Sipunculus verrucosus
Strabomanfis biporcatus,Strabomantis biporcatus
Straparollus tabulatus,Straparolus tabulatus
Stratiomjs siderogaster,Stratiomys siderogaster
Stratiomyi clavipes,Stratiomys clavipes
Stratiomyia chameleon,Stratiomyia chamaeleon
Stratiotes alloides,Stratiotes aloides
Strcbla chrotopteri,Strebla chrotopteri
Strdx aluco,Strix aluco
Strentopelia turtur,Streptopelia turtur
Strepioprocne zonaris,Streptoprocne zonaris
Streptanthus crassieaulis,Streptanthus crassicaulis
Streptaxis hurmanicus,Streptaxis burmanicus
Streptnpus roseus,Streptopus roseus
Streptopelia simitorquata,Streptopelia semitorquata
Streptopius roseus,Streptopus roseus
Streptopus amplfxifolius,Streptopus amplexifolius
Striatochonetcs nanus,Striatochonetes nanus
Strix pratinsola,Strix pratincola
Strnophyllus ciliatifolius,Stenophyllus ciliatifolius
Strntometra priamus,Strotometra priamus
Strobilanthes flaocidifolius,Strobilanthes flaccidifolius
Strobilanthes jlexicaulis,Strobilanthes flexicaulis
Stromatopara polymorpha,Stromatopora polymorpha
Stromatosphceria concentrica,Stromatosphaeria concentrica
Strombiformis snbulatus,Strombiformis subulatus
Strombus auris-diana,Strombus auris-dianae
Stronggylocephalus livens,Stroggylocephalus livens
Strongjlocentrotus lividus,Strongylocentrotus lividus
Strongylium pallidocinctum,Strongyliam pallidocinctum
Strongylocantha glycirrhiza,Strongylacantha glycirrhiza
Strongylocomis stygicus,Strongylocoris stygicus
Strongylogaster geuiculata,Strongylogaster geniculata
Strongylus ammonia,Strongylus ammonis
Stronqylocentrotus franciscanus,Strongylocentrotus franciscanus
Stropbitus edentulus,Strophitus edentulus
Strophanthus g�atus,Strophanthus gratus
Strophantus longicaudatus,Strophanthus longicaudatus
Stropheodonta feildeni,Strophodonta feildeni
Strophobomus obesus,Strophosomus obesus
Strophodonla perplana,Strophodonta perplana
Strophodonta subinterstrialis var. seretensis,Stropheodonta subinterstrialis seretensis
Strophomena iuterstrialis,Strophomena interstrialis
Strophostoma anomphalum,Strophostoma anomphalus
Strumela rutila,Strumeta rutila
Strychnos nox-vomica,Strychnos nux-vomica
Stryx antiqua,Strix antiqua
Stum cicutae,Sium cicuta
Sturmia hella,Sturmia bella
Sturnas vulgarls,Sturnus vulgarls
Sturnus carnnculatus,Sturnus carunculatus
Stutice aegyptiaca,Statice aegyptiaca
Stylidium graminijolium,Stylidium graminifolium
Stylidium gramivifolium,Stylidium graminifolium
Styli�ium schoenoides,Stylidium schoenoides
Styloccenia taurinensis,Stylocoenia taurinensis
Styloccryna costata,Stylocoryna costata
Stylocoenia epitheeata,Stylocoenia epithecata
Stylodactylus oimaxillaris,Stylodactylus bimaxillaris
Stylodictya mnltispina,Stylodictya multispina
Styloehlamydium asteriscus,Stylochlamydium asteriscus
Stylogaster binnnulata,Stylogaster biannulata
Stylophora subretieulata,Stylophora subreticulata
Stylosauthes guineensis,Stylosanthes guineensis
Styphelia apicnlata,Styphelia apiculata
Styrax agresta,Styrax agreste
Styrax jucunda,Styrax jucundua
Stysanopsis rufo-violacea,Stysanopsis rufoviolacea
Sténohothrus biguttulus,Stenobothrus biguttulus
St�enometopius mindanaoensis,Stenometopius mindanaoensis
St�nactis speciosa,Stenactis speciosa
St�pa capillacea,Stipa capillacea
St�phanotheca micromera,Stephanotheca micromera
St�rix perlata,Strix perlata
St�rnella magna,Sturnella magna
Suarus tricuspidatus,Sparus tricuspidatus
Subacyrthosiphon cryptobius,Subacyrthosiphon cryptobium
Subcrites spinispirulifer,Suberites spinispirulifer
Succisa prateusis,Succisa pratensis
Suecinea labiata,Succinea labiata
Suerardia arvensis,Sherardia arvensis
Sufa sula,Sula sula
Suherites aaptus,Suberites aaptus
Sula leucogaster platus,Sula leucogaster plotus
Sula sulla,Sula sula
Sula tusca,Sula fusca
Sulmo mykiss,Salmo mykiss
Sultator orenocensis rufescens,Saltator orenocensis rufescens
Sumeria agaritharia,Numeria agaritharia
Sun albirostris,Sus albirostris
Surbus sambucifolia,Sorbus sambucifolia
Suricata suiicatta marjoriae,Suricata suricatta marjoriae
Surirella augusta,Surirella angusta
Surirella fastuosa var. recndens,Surirella fastuosa recendens
Surirella orata,Surirella ornata
Surirella spirälis,Surirella spiralis
Surn�a ulula caparoch,Surnia ulula caparoch
Surìrélla gracili,Surirella gracilis
Sus scrolä ferus,Sus scrofa ferus
Suthora bulomaclius,Suthora bulomachus
Suza bassana,Sula bassana
Svalbardiceras spitzbergense,Svalbardiceras spitzbergensis
Svarabus imbrium,Scarabus imbrium
Sviara ocellaris,Sciara ocellaris
Svirodela polyrhiza,Spirodela polyrhiza
Svnamphitoe pelagica,Sunamphitoe pelagica
Svnaptura marginata,Synaptura marginata
Svrnium uralense,Syrnium uralense
Svrrhopodon albo-vaginatum,Syrrhopodon albo-vaginatus
Swerlia longifolia,Swertia longifolia
Swieteuia macrophylla,Swietenia macrophylla
Sxmilacina bifolia,Smilacina bifolia
Sycazoa pulchra,Sycozoa pulchra
Sycnn raphanus,Sycon raphanus
Syennesls dispar,Syennesis dispar
Syeorax trispinosa,Sycorax trispinosa
Syesxita divisa,Syessita divisa
Sykgnathus carce,Syngnathus carce
Sylepta concatenalis,Syllepta concatenalis
Syllis pullig�era,Syllis pulligera
Syloryctes satyrus,Xyloryctes satyrus
Sylou hymenodorae,Sylon hymenodorae
Sylvia affi�nis,Sylvia affinis
Sylvia aurora,Sylvia aurorea
Sylvia com�munis,Sylvia communis
Sylvia flavlcollis,Sylvia flavicollis
Sylvia magniroslris,Sylvia magnirostris
Sylvia ruiicapilla,Sylvia ruficapilla
Sylvia semi-torquata,Sylvia semitorquata
Sylvilagns audubonii arizonae,Sylvilagus audubonii arizonae
Sylvilagus cuniculari,Sylvilagus cunicularis
Sylvla leucoblephara,Sylvia leucoblephara
Symbiodinium microadrialicum,Symbiodinium microadriaticum
Symbolanthua pulcherrimus,Symbolanthus pulcherrimus
Sympha portlandica,Symphya portlandica
Symphaedia pardalina,Symphaedra pardalina
Symphonta globulifera,Symphonia globulifera
Symphoricarpus orbiculatus variegatus,Symphoricarpos orbiculatus f. variegatus
Symphtllia indica,Symphyllia indica
Symphyandru armena,Symphyandra armena
Symphyotrlchum lanceolatum,Symphyotrichum lanceolatum
Symphysutus croftii,Symphysurus croftii
Symplectea tephronotus,Symplectes tephronotus
Symplocarpus foetidlis,Symplocarpus foetidus
Symplocos coerulescens,Symplocos caerulescens
Symprocarpus foetidus,Symplocarpus foetidus
Sympteiygia bonapartei,Sympterygia bonapartei
Symura reticulata,Synura reticulata
Synagris hleekeri,Synagris bleekeri
Synalpheus aroslris,Synalpheus arostris
Synbranchus marmorattis,Synbranchus marmoratus
Syncheeta gyrina,Synchaeta gyrina
Synchgeta mordax,Synchaeta mordax
Synchitrium decipiens,Synchytrium decipiens
Synchytvium endobioticum,Synchytrium endobioticum
Synclita occidentali,Synclita occidentalis
Syndesmanthns ciliatus,Syndesmanthus ciliatus
Syndesmia demosia,Syndesmya demosia
Syneches ineequalis,Syneches inaequalis
Synechus minor,Syneches minor
Synedkella nodiflora,Synedrella nodiflora
Synedra delicatis�ima,Synedra delicatissima
Synedra spectabllis,Synedra spectabilis
Syngamia latimaeginalis,Syngamia latimarginalis
Syngnalhus foliatus,Syngnathus foliatus
Syngnathus lumlriciformis,Syngnathus lumbriciformis
Syngonanthus llavidulus,Syngonanthus flavidulus
Synlrichia subulata,Syntrichia subulata
Synodendron cornutum,Sinodendron cornutum
Synrias diffundens,Synyrias diffundens
Synthecium alter nans,Synthecium alternans
Synthetosciurus brochus,Syntheosciurus brochus
Synucbus nivalis,Synuchus nivalis
Syphocoryne angelica,Syphocoryne angelicae
Sypocolius ampelinus,Hypocolius ampelinus
Sypolepis punctata,Hypolepis punctata
Syringa vulgaris var. alta,Syringa vulgaris f. alba
Syringia vulgaris,Syringa vulgaris
Syringodium filforme,Syringodium filiforme
Syrlngostroma columnare,Syringostroma columnare
Syrnium uralense japonicum,Syrnium urlense japonicum
Syrphus arcnatus,Syrphus arcuatus
Syrphus grandicorne,Syrphus grandicornis
Syrphvs variabilis,Syrphus variabilis
Syrrhaptss paradoxus,Syrrhaptes paradoxus
Syrrhopodon apicnlatus,Syrrhopodon apiculatus
Sysphincta europea,Sysphincta europaea
Sysphinetostoma smithi,Sysphinctostoma smithi
Syssphinx heiligbrodtii,Syssphinx heiligbrodti
Systates sphœricus,Systates sphaericus
Systolocraneus giganteus,Systolocranius giganteus
Sysymbrium canescens,Sisymbrium canescens
Syuapta digitata,Synapta digitata
Syzetoxinus basicornis,Syzetoninus basicornis
Sérica mulata,Serica mutata
Sírongyloides oswaldoi,Strongyloides oswaldoi
S�almo levenensis,Salmo levenensis
S�ansevieria fasciata,Sansevieria fasciata
S�esia affinis,Sesia affinis
S�ilurus glanis,Silurus glanis
S�lurus aspredo,Silurus aspredo
Tabanus ehombicus,Tabanus rhombicus
Tabanus quadrig-uttatus,Tabanus quadriguttatus
Tabanus sul,Tabanus sol
Tabanus testaceiveniris,Tabanus testaceiventris
Tabebuia insignia var. monophylla,Tabebuia insignis monophylla
Tabernsemontana coronaria,Tabernaemontana coronaria
Tabularia gracilis,Tubularia gracilis
Tacbyporus littoreus,Tachyporus littoreus
Tacca integrifolla,Tacca integrifolia
Tachiadenas longiflorus,Tachiadenus longiflorus
Tachiiius arcticus,Tachidius arcticus
Tachina magnieornis,Tachina magnicornis
Tachinus rujipennis,Tachinus rufipennis
Tachymarptis aeqnatorialis,Tachymarptis aequatorialis
Tachymenis ohilensis,Tachymenis chilensis
Tachyres zarinda,Tachyris zarinde
Tachys scutellaria,Tachys scutellaris
Tachysphex acrobatus,Tachysphex acrobates
Tackyglossus aculeatus,Tachyglossus aculeatus
Tackyoryctes spalacinus,Tachyoryctes spalacinus
Tacnia dendritica,Taenia dendritica
Tadariada hrasiliensis mexicana,Tadarida hrasiliensis mexicana
Taenia plastica,Tania plastica
Taeniophylium serrula,Taeniophyllum serrula
Taeniothrivs atratus,Taeniothrips atratus
Taephiosoma echinatum,Tarphiosoma echinatum
Tagetos minuta,Tagetes minuta
Tage�tes patula,Tagetes patula
Taggetes lucida,Tagetes lucida
Tagonoides somers-smitkii,Tagonoides somers-smithii
Tagus sylvatica cuprea,Fagus sylvatica var. cuprea
Tahanus caucasicus,Tabanus caucasicus
Tahanus centron,Tabanus centron
Tahanus circumdatus,Tabanus circumdatus
Tahernaemontana oblongifolia,Tabernaemontana oblongifolia
Tainia haslata,Tainia hastata
Talaeporia clandestinella,Taleporia clandestinella
Talanus conspicuus,Tabanus conspicuus
Talium parviflorum,Galium parviflorum
Tamariscelia chrysopteris,Tamariscella chrysopteris
Tamarix libanoticus,Tamarix libanotica
Tamarix murensis,Tamarix amurensis
Tamari�x hispida,Tamarix hispida
Tamtas lysteri,Tamias lysteri
Tanacctum sibiricum,Tanacetum sibiricum
Tanacelum compactum,Tanacetum compactum
Tanacelum microphyllum,Tanacetum microphyllum
Tanacia interrupta,Tanaecia interrupta
Tanaoorinus typus,Tanaocrinus typus
Tanaretum vulgare,Tanacetum vulgare
Tanayra aestiva,Tanagra aestiva
Tandanus twndanus,Tandanus tandanus
Tanygnalhus lucionensis,Tanygnathus lucionensis
Tanysipfera sylvia,Tanysiptera sylvia
Tanytarsus profusus,Tanytarsus profusa
Tapes literalus,Tapes literatus
Tapes obscuratus,Tapes obscurata
Taphrospermdm platypetalum,Taphrospermum platypetalum
Tapinopterus miridita jakupicensis,Tapinopterus miridita jacupicensis
Tapir anga,Tapir anta
Tapiras priscus,Tapirus priscus
Tapirns haysii californicus,Tapirus haysii californicus
Tapkria vivalis,Taphria vivalis
Taracticus acidulatus,Taracticus aciculatus
Tarandichthys fllamentosus,Tarandichthys filamentosus
Tarbonilla elongata,Turbonilla elongata
Tardus crossleyi,Turdus crossleyi
Tardus pallasii,Turdus pallasii
Tarritella adulterata,Turritella adulterata
Tarsins fuscus,Tarsius fuscus
Tartarea longirostris,Tartare longirostris
Tasmias striatus,Tamias striatus
Tasniocampa tabida,Taeniocampa tabida
Tasonus nitidus,Taxonus nitidus
Taspalum dissectum,Paspalum dissectum
Tassa marmorata,Jassa marmorata
Tasser rutilans,Passer rutilans
Tatauma fistulosa,Talauma fistulosa
Tatera perxica,Tatera persica
Tateva dichrura,Tatera dichrura
Tatraonchus monenteron,Tetraonchus monenteron
Taxidea taxus laxus,Taxidea taxus taxus
Taxodites tenui�olius,Taxodites tenuifolius
Taxus brecifolia,Taxus brevifolia
Tayassu peca�ri spiradens,Tayassu pecari spiradens
Tbaleops ovata,Thaleops ovata
Tbalictrum occidentale,Thalictrum occidentale
Tbalurania wagleri,Thalurania wagleri
Tbaumantias maculata,Thaumantias maculata
Tbdus subulatus,Todus subulatus
Tbemistoclesia pendula,Themistoclesia pendula
Tbereva lanipes,Thereva lanipes
Tberidion sisyphium,Theridion sisyphium
Tberidiosoma nebulosum,Theridiosoma nebulosum
Tberisticus melanopes,Theristicus melanopis
Tbias picta,Trias picta
Tcenia heterosoma,Taenia heterosoma
Tcgula masiasi,Tegula masiasi
Tchitrea perspicillata ruwenzori,Tchitrea perspicillata ruwenzoriae
Tcrebratula eximia,Terebratula eximia
Tcredora princesae,Teredora princesae
Tctranthera geniculata,Tetranthera geniculata
Tctrapora suevica,Tetrapora suevica
Tdbanus dorsonotatus,Tabanus dorsonotatus
Teba eaperata,Teba caperata
Tecoma mierophylla,Tecoma microphylla
Tecomarin capensis,Tecomaria capensis
Tecophil�ea cyanocrocus,Tecophilaea cyanocrocus
Tectarius tuberculatum,Tectarius tuberculatus
Tefflus zehulianus,Tefflus zebulianus
Teftigonia gothica,Tettigonia gothica
Tegeogranus cepheiformis,Tegeocranus cepheiformis
Tegeticu�a yuccasella,Tegeticula yuccasella
Tegeuaria atrica,Tegenaria atrica
Tegula funcbralis,Tegula funebralis
Tegula hotessierana,Tegula hotessieriana
Tegulifera urdlica,Tegulifera uralica
Teichites nodosus,Trichites nodosus
Teiia cyaniventer,Tesia cyaniventer
Teijsmanniodendron bogoriense var. pentaphyllum,Teijsmanniodendron bogoriense pentaphyllis
Teiradium fibratum,Tetradium fibratum
Teirao perdix,Tetrao perdix
Teitia trivittatoides,Tritia trivittatoides
Tejeoceras fossiger,Teleoceras fossiger
Telantheru bettzickiana,Telanthera bettzickiana
Teleanthera brasiliana,Telanthera brasiliana
Teleas phalenarum,Teleas phalaenarum
Telephands argentatus,Telephanus argentatus
Telephanes argentatus,Telephanus argentatus
Telephonns trivirgatus,Telephonus trivirgatus
Telhyum coriaceum,Tethyum coriaceum
Teliina acuta,Tellina acuta
Telilla euplocamos,Tetilla euplocamos
Telipogon pamplonense,Telipogon pamplonensis
Tellina lostralina,Tellina rostralina
Tellina nur,Tellina nux
Tellina pseudorostratis,Tellina pseudorostralis
Tellina pulcher rima,Tellina pulcherrima
Tellinides purpurcus,Tellinides purpureus
Telliua cornubiensis,Tellina cornubiensis
Telltna striata,Tellina striata
Telmalophilus typhae,Telmatophilus typhae
Telmatodyies palustris laingi,Telmatodytes palustris laingi
Telmatophilus hrevicollis,Telmatophilus brevicollis
Telmessus cheiragomis,Telmessus cheiragonus
Telmessus cheirago�ius,Telmessus cheiragonus
Telopea epeciosissima,Telopea speciosissima
Telostylus himaculatus,Telostylus bimaculatus
Telropium castaneum,Tetropium castaneum
Telyra maura,Tetyra maura
Teminius hirsutas,Teminius hirsutus
Temnobtoma alternans,Temnostoma alternans
Temnodom saltator,Temnodon saltator
Temnosiethus pusillus,Temnostethus pusillus
Tenebrio obscunis,Tenebrio obscurus
Tentacuiites striatus,Tentaculites striatus
Tentadesma butyracea,Pentadesma butyracea
Tenthredo flativentris,Tenthredo flaviventris
Tenthredo manditularis,Tenthredo mandibularis
Tenthredo simulatus,Tenthredo simu latus
Tenthredo varicgatus,Tenthredo variegatus
Tentiana lutea,Gentiana lutea
Tentyria laeticollis,Tentyria laevicollis
Tenuipalpus ohovatus,Tenuipalpus obovatus
Tenuipalpus paciflcus,Tenuipalpus pacificus
Teochus tentorium,Trochus tentorium
Teoglodytes calvus,Troglodytes calvus
Teophon consociale,Trophon consociale
Teopidonotus saurita,Tropidonotus saurita
Tephioseris stolonifera,Tephroseris stolonifera
Tephrodornis super ciliosus,Tephrodornis superciliosus
Tephroelystia virgaureata,Tephroclystia virgaureata
Teraphis pellucida,Tetraphis pellucida
Teratemhia geniculata,Teratembia geniculata
Terebia parva,Terebra parva
Terebiatula perovalis,Terebratula perovalis
Terebra costelllfera,Terebra costellifera
Terebra co�tata,Terebra costata
Terebrafula semiglobosa,Terebratula semiglobosa
Terebraiula quadrifida,Terebratula quadrifida
Terebralina regnlaris,Terebralina regularis
Terebralulina caputserpentis,Terebratulina caputserpentis
Terebratula ambiguus,Terebratula ambigua
Terebratula ciflyensis,Terebratula ciplyensis
Terebratula conglolata,Terebratula conglobata
Terebratula strialula,Terebratula striatula
Terebratulites acutus,Terebratulites acuta
Terehratella septata,Terebratella septata
Terehratula lepida,Terebratula lepida
Terehratula vitrea,Terebratula vitrea
Terehratulina crossei,Terebratulina crossei
Tergipes lacinulalus,Tergipes lacinulatus
Termes globosus,Kermes globosus
Termes pars,Termes parvus
Terminalia akostrata,Terminalia arostrata
Terminalis an-gustifolia,Terminalis angustifolia
Termitohracon emersoni,Termitobracon emersoni
Termts gestroi,Termes gestroi
Ternsirœmia salicifolia,Ternstroemia salicifolia
Terrapene tr�iporcata,Terrapene triporcata
Tesba belli,Tesba belti
Tesludo nigrita,Testudo nigrita
Tesperugo noctula,Vesperugo noctula
Tessaratoma ostraciopterum,Tessaratoma ostraciopterus
Tesselaria antiqua,Tessellaria antiqua
Testaceila haliotidea,Testacella haliotidea
Testaoella pedemontana,Testacella pedemontana
Testudö terrestris,Testudo terrestris
Testujo marginata,Testudo marginata
Testvdo geometrica,Testudo geometrica
Tethao canadensis,Tetrao canadensis
Tetheella fiuctuosa,Tetheella fluctuosa
Tethyia aurantia,Tethya aurantia
Tetjra inuncta,Tetyra inuncta
Tetligonia reticulata,Tettigonia reticulata
Tetraalacium veronicaeforme,Tetraulacium veronicaeforme
Tetrabelodons campester,Tetrabelodon campester
Tetracerus qnadricornis,Tetracerus quadricornis
Tetracoiyle crystallina,Tetracotyle crystallina
Tetragasiris balsamifera,Tetragastris balsamifera
Tetragastris ossaea,Tetragastris ossea
Tetragnatha nepaefoymis,Tetragnatha nepaeformis
Tetragonofobus wiedemannii,Tetragonolobus wiedemannii
Tetralonia salicariae var. albielypeata,Tetralonia salicariae var. albiclypeata
Tetramolopinm phylicoides,Tetramolopium phylicoides
Tetranlhera ferruginea,Tetranthera ferruginea
Tetranonyx fulvus,Tetraonyx fulvus
Tetrantkera alnoides,Tetranthera alnoides
Tetranychos telarius,Tetranychus telarius
Tetranychus bioeulatus,Tetranychus bioculatus
Tetranychus linlearius,Tetranychus lintearius
Tetrao aichata,Tetrao alchata
Tetrao marilaudicus,Tetrao marilandicus
Tetrao rupcstris,Tetrao rupestris
Tetrapaedía curvitarsis,Tetrapedia curvitarsis
Tetraqnatha vermiformis,Tetragnatha vermiformis
Tetrarhynchus bisvlcatus,Tetrarhynchus bisulcatus
Tetrarhynchus lingulis,Tetrarhynchus lingualis
Tetrascbistis paula,Tetraschistis paula
Tetraspora gclatinosa,Tetraspora gelatinosa
Tetrastemma grcenlandicum,Tetrastemma groenlandicum
Tetra�onolobus purpureus,Tetragonolobus purpureus
Tetrnnychus viennensis,Tetranychus viennensis
Tetrodon gcometricus,Tetrodon geometricus
Tetrognatha andamanensis,Tetragnatha andamanensis
Tettigonia atro punctata,Tettigonia atropunctata
Tettigouia muscaria,Tettigonia muscaria
Tettig�idea parvipennis,Tettigidea parvipennis
Tettiz variegatus,Tettix variegatus
Teucholahis decora,Teucholabis decora
Teucriu�m littorale,Teucrium littorale
Teuehophorus spinigerellus,Teuchophorus spinigerellus
Teuxrium montanum,Teucrium montanum
Textilaria perforata,Textularia perforata
Textillaria praelonga,Textilaria praelonga
Textnlaria agglutinans,Textularia agglutinans
Tfifolium involucratum,Trifolium involucratum
Tgeniocampa gothica,Taeniocampa gothica
Thaiasseus anglica,Thalasseus anglica
Thaieops ovata,Thaleops ovata
Thaiera putata,Thalera putata
Thajotia caffea,Thalotia caffea
Thalasia testudinum,Thalassia testudinum
Thalassiosira pseudonanna,Thalassiosira pseudonana
Thalassoaitus pelagicus,Thalassoaetus pelagicus
Thalassophryne retieulata,Thalassophryne reticulata
Thalassus sandvicensis,Thalasseus sandvicensis
Thalera fimbrlalis,Thalera fimbrialis
Thalessa airata,Thalessa atrata
Thalictrum adiantifolum,Thalictrum adiantifolium
Thalictrum lanerpitiifolium,Thalictrum laserpitiifolium
Thalictrum minus var. elata,Thalictrum minus elatum
Thallassosmittia thalassophila,Thalassosmittia thalassophila
Thallctrum adiantifolium,Thalictrum adiantifolium
Thallumetus pinus,Thallumetus pineus
Thalotia elongata,Thalotia elongatus
Thalurania forfieata,Thalurania forficata
Thammotettix clitellarius,Thamnotettix clitellarius
Thamnastraa concinna,Thamnastrea concinna
Thamnastylus dinema,Thamnostylus dinema
Thamnolaea ciunamomeiventris,Thamnolaea cinnamomeiventris
Thamnolia vermicu-laris,Thamnolia vermicularis
Thamnopbis marciana,Thamnophis marciana
Thamnophilua pruni,Thamnophilus pruni
Thamnophilus tenuepenctatus,Thamnophilus tenuepunctatus
Thamnotetti�x sulphurellus,Thamnotettix sulphurellus
Thamnotettlx plebejus,Thamnotettix plebeius
Thamuophilus leuconotus,Thamnophilus leuconotus
Thanatus trilinealus,Thanatus trilineatus
Thanmalea testacea,Thaumalea testacea
Thaumaieus longispinosus,Thaumaleus longispinosus
Thaumanthias inconspicua,Thaumantias inconspicua
Thaumasfoptera aldabrensis,Thaumastoptera aldabrensis
Thaumastopaeus palawanicus,Thaumastopeus palawanicus
Thaumastoptera aldahrensis,Thaumastoptera aldabrensis
Thaumatocrinus reno vatus,Thaumatocrinus renovatus
Thaïsphdera igoi,Thaisphaera igoi
Thca oleifera,Thea oleifera
Thclotrema bahianum,Thelotrema bahianum
Theaium dissitum,Thesium dissitum
Thecia zebina,Thecla zebina
Thecla cpronata,Thecla coronata
Thecodiplosis qucrcifolia,Thecodiplosis quercifolia
Thecosmilia elathrata,Thecosmilia clathrata
Thecospira tyrölensis,Thecospira tyrolensis
Theganopteryx sencgalensis,Theganopteryx senegalensis
Theifsenula clavispora,Theissenula clavispora
Theileria par,Theileria parva
Thejymorpha vertiginosa,Thelymorpha vertiginosa
Thelctrema lepadinum,Thelotrema lepadinum
Thelecorpus hexasepalus,Thelecarpus hexasepalus
Thelepbora sullivantii,Thelephora sullivantii
Thelephora hadia,Thelephora badia
Thelepkora ferruginea,Thelephora ferruginea
Thelphusa lluviatilis,Thelphusa fluviatilis
Thelvphonus caudatus,Thelyphonus caudatus
Thelymitra pclchella,Thelymitra pulchella
Thelypteris hexagon-optera,Thelypteris hexagonoptera
Themeda glgantea ssp. intermedia,Themeda gigantea intermedia
Theocam�pe regularis,Theocampe regularis
Theodiseus sacerdotalis,Theodiscus sacerdotalis
Theone minutissima,Theonoe minutissima
Theophrafta glycycarpa,Theophrasta glycycarpa
Thera jvniperata,Thera juniperata
Therena bosniaskii,Thereua bosniaskii
Thereya hirticeps,Thereva hirticeps
Theridion himaculatum,Theridion bimaculatum
Theridion margaritarium,Theridion margritarium
Theridion sphgerula,Theridion sphaerula
Theridium gracile,Thyridium gracile
Theriophis trifolii,Therioaphis trifolii
Therldion tepidariorum,Theridion tepidariorum
Thermocy clops oblongatus,Thermocyclops oblongatus
Thermomonospora curvala,Thermomonospora curvata
Thermomyces lanurinosus,Thermomyces lanuginosus
Therodontis reticulata,Thaerodontis reticulata
Thespia livida,Thespis livida
The�lephora fragilis,Thelephora fragilis
Thgmus vulgaris,Thymus vulgaris
Thibaudea setigera,Thibaudia setigera
Thichomanes scandens,Trichomanes scandens
Thinocaris muscicola,Thinocharis muscicola
Thinocharis carini colli,Thinocharis carinicollis
